Age,Education,Skill,Location,Recommended_Path
18,10th Pass,Electronics,Lucknow,ITI Electrician Training
19,12th Pass,Computers,Delhi,Computer Operator Course
17,10th Pass,Tailoring,Lucknow,Local Tailoring Training
20,Graduate,Farming,Delhi,Modern Agriculture Course
22,12th Pass,Driving,Gorakhpur,Commercial Driving License
21,Graduate,Teaching,Gorakhpur,Primary Teaching Course
18,10th Pass,Mobile Repair,Lucknow,Mobile Repair Course
20,12th Pass,Solar Installation,Delhi,Diploma in Solar Installation
Age,Education,Skill,Location,Recommended_Path
25,Graduate,Driving,Kanpur,Heavy Vehicle Driving Course
21,Below 10th,Tailoring,Gorakhpur,Fashion Designing Course
17,Below 10th,Animal Husbandry,Delhi,Animal Care Course
17,12th Pass,Computers,Gorakhpur,Basic Programming Course
22,Below 10th,Farming,Near Town,Organic Farming Training
20,12th Pass,Farming,Kanpur,Organic Farming Training
24,Diploma,Bakery,Kanpur,Pastry Making Course
16,Diploma,Mobile Repair,Kanpur,Mobile Repair Course
17,10th Pass,Handicrafts,Kanpur,Cultural Craft Course
21,Below 10th,Plumbing,Near Town,Water Systems Maintenance
18,10th Pass,Electronics,Lucknow,Diploma in Electronics
19,12th Pass,Driving,Lucknow,Commercial Driving License
23,12th Pass,Beauty Parlor,Gorakhpur,Cosmetology Training
22,Diploma,Solar Installation,Near Town,Diploma in Solar Installation
20,Below 10th,Plumbing,Gorakhpur,Water Systems Maintenance
24,Graduate,Masonry,Kanpur,Masonry Training
16,Below 10th,Poultry Farming,Lucknow,Poultry Farming Course
23,Diploma,Handicrafts,Gorakhpur,Handicraft Workshop
18,Graduate,Teaching,Near Town,Adult Education Training
25,12th Pass,Mobile Repair,Near Town,Smartphone Repair Workshop
17,10th Pass,Driving,Near Town,Commercial Driving License
16,Below 10th,Beauty Parlor,Kanpur,Beauty Parlor Course
24,10th Pass,Carpentry,Gorakhpur,Furniture Making Course
20,Graduate,Plumbing,Delhi,Plumbing Training
25,10th Pass,Tailoring,Near Town,Fashion Designing Course
24,12th Pass,Solar Installation,Lucknow,Renewable Energy Course
21,Graduate,Electronics,Near Town,ITI Electrician Training
19,Diploma,Handicrafts,Near Town,Cultural Craft Course
18,12th Pass,Animal Husbandry,Lucknow,Dairy Farming Training
20,10th Pass,Teaching,Kanpur,Primary Teaching Course
17,Below 10th,Carpentry,Near Town,Carpentry Workshop
22,Graduate,Computers,Kanpur,Computer Operator Course
24,Below 10th,Poultry Farming,Delhi,Bird Care Workshop
25,Graduate,Bakery,Near Town,Bakery Training
18,10th Pass,Masonry,Near Town,Construction Skills Course
16,12th Pass,Mobile Repair,Gorakhpur,Mobile Repair Course
21,Below 10th,Farming,Kanpur,Modern Agriculture Course
20,Diploma,Electronics,Gorakhpur,Diploma in Electronics
22,12th Pass,Beauty Parlor,Lucknow,Beauty Parlor Course
23,Graduate,Solar Installation,Lucknow,Renewable Energy Course
24,Below 10th,Driving,Kanpur,Commercial Driving License
16,12th Pass,Plumbing,Near Town,Water Systems Maintenance
19,Below 10th,Tailoring,Lucknow,Local Tailoring Training
22,Graduate,Farming,Gorakhpur,Modern Agriculture Course
20,10th Pass,Computers,Near Town,Computer Operator Course
21,12th Pass,Handicrafts,Kanpur,Handicraft Workshop
18,Below 10th,Poultry Farming,Delhi,Poultry Farming Course
24,Graduate,Bakery,Near Town,Pastry Making Course
23,Diploma,Masonry,Lucknow,Masonry Training
25,12th Pass,Beauty Parlor,Kanpur,Cosmetology Training
19,10th Pass,Electronics,Kanpur,ITI Electrician Training
17,12th Pass,Mobile Repair,Lucknow,Mobile Repair Course

